platinumid,ntabs,ntabscategory
08E_3U4O,16,low
08H_3U5J,116,low
08J_3U5K,348,low
08K_3U5L,116,low
08W_3UA8,432,low
08Z_3RK7,96,low
097_1R55,972,medium
099_3HYG,594,medium
09A_3UDM,1452,medium
09D_3UDP,3630,medium
09F_3UDR,10890,high
09H_3U9N,7920,medium
09J_3U8W,16,low
09K_4FKI,480,low
09L_4TKG,1920,medium
09Z_3RK9,72,low
0A1_3QTC,48,low
0B1_3VV7,48,low
0B3_3WB4,540,medium
0BX_3UNJ,288,low
0BY_3UNK,432,low
0C1_3UPH,1408,medium
0C8_3UP2,5184,medium
0CA_3UPE,7680,medium
0CB_3UUZ,138240,high
0CH_3UV6,5832,medium
0CJ_3UTD,7776,medium
0CK_3UZP,2250,medium
0CN_3UV7,1296,medium
0CO_3CS6,1000000,high
0CZ_3UUA,90,low
0D2_3UVC,5808,medium
0DF_3UWK,6,low
0DI_3SFF,1440,medium
0DJ_3UWO,12,low
0DN_3UXM,198,low
0E0_5C5P,135,low
0F9_3VBT,2,low
0FK_3VBV,1,low
0FR_3VBY,4,low
0FV_3V1X,34992,high
0FX_3VBL,1000000,high
0G1_3V5L,1200,medium
0G2_3V8W,96,low
0G8_4QWA,42768,high
0GA_5CWA,24,low
0GD_4D7J,864,medium
0GO_3VEU,1000000,high
0GX_3V7T,864,medium
0GY_4DI9,8,low
0H5_3VEY,72,low
0H9_4FPE,1296,medium
0HD_3V8S,72,low
0HL_3VFE,22528,high
0HM_4D8N,256,low
0HN_4DDK,22,low
0HV_4DBS,72,low
0J2_4D8Z,24,low
0J3_4GG5,360,low
0J6_4DE1,48,low
0J7_4DDS,96,low
0J8_4GG7,6480,medium
0JA_3VNT,3840,medium
0JB_4DE0,144,low
0JD_4DE5,60,low
0JE_3VF8,144,low
0JF_4DCE,17280,high
0JJ_4DEG,24,low
0JO_4HPX,10368,high
0JX_3UTC,1944,medium
0K0_4DFL,2160,medium
0K9_4DI2,1000000,high
0KC_4DHN,396,low
0KF_3VO3,512,medium
0KG_4DHT,540,medium
0KH_4DHU,144,low
0KJ_4DJR,769824,high
0KX_4Q8E,1000000,high
0L7_4DFP,1000000,high
0LD_4GEB,5184,medium
0LH_3V1S,6,low
0LI_3ZOS,8640,medium
0LM_4DKO,60,low
0LQ_4GB2,34650,high
0LR_4GJ5,180,low
0LU_4GJ8,26730,high
0LX_4DV8,1000000,high
0M4_4DVW,4356,medium
0MN_4DW6,192,low
0N2_4E33,1000000,high
0N5_4E1K,96,low
0N6_4E47,15840,high
0NH_4E4L,180,low
0NJ_4E5D,4,low
0NL_4E4N,198,low
0NP_4EAD,1188,medium
0NR_4E73,192,low
0NS_4E96,360,low
0NT_4E5W,23760,high
0NU_4E6D,720,medium
0NV_4E6Q,1080,medium
0NY_4NPW,72,low
0O4_4EE0,6480,medium
0O5_4EDZ,6480,medium
0O7_4EBV,180,low
0OE_4E91,4320,medium
0OF_4E91,2784,medium
0OG_4E92,768,medium
0OK_4EH2,6,low
0ON_4EH6,8,low
0OV_4EFE,60,low
0OX_4EEQ,22,low
0OY_4EGH,180,low
0Q1_4GPJ,110,low
0QA_4EJI,1728,medium
0QR_4EPX,8,low
0QV_4EPW,180,low
0QW_4EPT,132,low
0QX_4EPV,8,low
0R3_4ERF,25920,high
0R4_4EJN,1536,medium
0R5_4ELT,1000000,high
0R9_4EMV,288,low
0RB_4ESI,6,low
0RF_4EKL,641520,high
0RM_4EY2,1056,medium
0RY_4F1L,32,low
0S2_4EO6,1440,medium
0S3_4EO8,2880,medium
0S5_4EOX,1254528,high
0S6_4F3I,1392,medium
0S8_4F64,419904,high
0S9_4F65,31104,high
0SL_4FA3,240,low
0SR_4F6U,466560,high
0SX_4F9C,44,low
0SZ_4FAM,120,low
0TF_4J4B,52488,high
0TK_4FFO,324,low
0TT_4FHD,1000000,high
0U8_4FFG,1086,medium
0UB_4FFI,1000000,high
0UJ_4FK6,96,low
0UP_4FM7,7920,medium
0UQ_4FM8,7920,medium
0UU_4FOC,388800,high
0UX_4FPS,7776,medium
0V0_4UMU,72,low
0V4_4FR3,1000000,high
0V5_3UJS,24,low
0V7_4FPH,648,medium
0V8_4FPY,648,medium
0VC_4FRR,8748,medium
0VF_4FYO,1056,medium
0VG_4FZ6,792,medium
0VH_4FZ7,6480,medium
0VM_4G16,288,low
0VN_4G17,48,low
0WB_4G3F,36,low
0WC_4G3E,132,low
0WE_4FS3,1440,medium
0WH_4G31,880,medium
0WO_4EYB,4224,medium
0WT_4GEE,1056,medium
0WW_4GG9,699840,high
0WY_4GIY,1000000,high
0X5_4GIH,64,low
0XE_4Q2V,240,low
0XF_4GFG,1620,medium
0XS_4GLX,3,low
0XT_4GLW,1,low
0XU_4GQB,42768,high
0XW_4H2H,44,low
0XZ_4GV1,3240,medium
0Y4_4GUB,1728,medium
0Y5_4GSY,25920,high
0Y7_4HBM,25920,high
0YB_4GFD,466560,high
0YJ_4H1M,1536,medium
0YN_4MHW,192,low
0YR_4H19,54,low
10E_4H4D,1944,medium
10G_4H4E,1944,medium
10P_3QTO,4224,medium
10U_2ZFT,1000000,high
115_1HWI,15552,high
117_1HWK,777600,high
11C_3PWS,432,low
11D_3AKN,1000000,high
11G_4I6B,1485,medium
11H_4NCE,45,low
11N_2ZEC,2640,medium
11P_2RAH,693,medium
11U_2ZQ1,1000000,high
11X_3FTV,12,low
11Y_4IBE,2816,medium
122_1GI4,16,low
12E_3MRT,6480,medium
12I_4A7G,45,low
12M_2F62,16,low
12Z_3RKB,360,low
130_1GJ5,64,low
132_1GJ6,64,low
133_1GJ8,144,low
135_1GJA,32,low
136_1GJD,64,low
13A_2B1G,2970,medium
13M_3VI8,5184,medium
13N_2XX5,1000000,high
13P_1NEY,24,low
13Y_4HDC,466560,high
140_1JPZ,1000000,high
145_1JYV,540,medium
149_1JZ5,45,low
14D_4HEJ,17280,high
14I_3MB7,3,low
14Z_4HBW,240,low
152_1NDF,216,low
15H_4HF4,12960,high
15I_3ZO2,675,medium
15J_4HEU,19440,high
15T_4IVD,3240,medium
15V_4HGE,144,low
15Z_4HLF,2,low
164_4MYS,23040,high
16G_1NE7,270,low
16I_4BUV,16,low
16O_3MT7,6480,medium
16S_4HLM,2,low
16T_4HLD,4320,medium
16W_4HNF,2160,medium
173_3SG0,2,low
174_1T5D,2,low
17C_4IJ1,21,low
17D_3QS8,16,low
17L_3V9T,190080,high
17S_3MRX,12960,high
17T_3MT8,6480,medium
18F_4JV6,24,low
18G_4HOE,8,low
18H_4HOG,12,low
18K_3SW4,48,low
18O_3MT9,12960,high
18P_3U6A,480,low
18S_3MS2,6480,medium
18U_4JXS,192,low
198_1Z95,432,low
19A_2OJG,300,low
19B_3E93,28800,high
19H_4WMU,432,low
19L_4HV3,288,low
19M_4HUP,1728,medium
19N_4K5L,5832,medium
19T_4MYQ,2880,medium
1A0_4HXW,3168,medium
1A7_4HXN,2,low
1A8_4HXM,576,medium
1AL_4PXD,4,low
1AM_4HYH,31680,high
1AO_4HYI,2160,medium
1AX_4HX2,378,low
1AZ_2WHI,360,low
1B0_2XDE,1920,medium
1B2_4HWR,288,low
1B3_4HWS,288,low
1B4_4I0R,24,low
1B5_4I0S,6,low
1B6_4I0T,1080,medium
1B7_4I0D,51840,high
1B9_4I0G,4320,medium
1BE_4I1C,207360,high
1BF_4I0F,17280,high
1BG_4HY4,1000000,high
1BK_4HYU,43740,high
1BL_4I0H,1000000,high
1BM_2HK5,734832,high
1BN_3PB9,4,low
1BR_4I4F,720,medium
1BS_4I10,2160,medium
1BU_3GCQ,9216,medium
1BW_4HZM,135,low
1BY_2I19,1134,medium
1C2_2F6T,1440,medium
1CA_3RY9,445500,high
1CH_4I11,2160,medium
1CO_4I6W,108,low
1CQ_4KTL,300,low
1CY_4KNE,120,low
1D6_4IBG,154880,high
1D8_4IBI,30976,high
1DC_4L6Z,48,low
1DE_4IBK,15488,high
1DF_4NG3,12,low
1DJ_4I7N,4,low
1DN_4LEK,6,low
1DR_3JPV,2,low
1DT_4I6Q,144,low
1EB_4LVD,16,low
1ED_4ICT,540,medium
1EN_4IJV,225,low
1EO_4IJU,36,low
1EU_3FV5,288,low
1F1_3KFR,2,low
1F6_4INB,75168,high
1FE_4IDK,8,low
1FX_4ISF,9720,medium
1FZ_4Q45,1000000,high
1G4_4IPS,540,medium
1G7_4IPW,540,medium
1GC_3PNC,1000000,high
1GE_4ISH,21120,high
1GG_4ISI,228096,high
1GH_3ZYU,24,low
1GJ_4IVW,48,low
1GK_3MPT,192,low
1GP_4JEJ,54,low
1GR_4IV2,54,low
1GT_4IVY,324,low
1GU_4IW6,432,low
1GV_4IWC,3,low
1H2_4J0R,32,low
1H5_4J0Z,1080,medium
1H6_4J0Y,360,low
1H8_4J0P,360,low
1HG_4J1K,1080,medium
1HJ_4J1H,1080,medium
1HM_4J1E,3240,medium
1HN_3NKT,2,low
1HQ_4J17,1080,medium
1HR_4J36,16,low
1HX_4ITJ,4,low
1IR_4P0N,108,low
1IU_4BXK,93312,high
1J2_4IZY,72900,high
1J3_4J52,1000000,high
1J5_4IVA,360,low
1JC_4IWD,51840,high
1JD_4IXC,864,medium
1JE_4J02,1620,medium
1JF_4J04,12,low
1JG_4J06,12,low
1JH_4J08,128,low
1JR_4J93,176,low
1JS_4J3D,972,medium
1JT_4J3F,60,low
1K9_4JA8,256,low
1KG_4JCH,1000000,high
1KO_4JIK,360,low
1KS_4JKV,4320,medium
1KX_3VRI,2376,medium
1L6_4JIB,37584,high
1LF_4JNC,19440,high
1LH_4B74,46656,high
1LI_3IVH,466560,high
1LR_4JPF,16,low
1LZ_4JMT,2,low
1M1_4JV8,60,low
1M2_4JMZ,6,low
1M3_4JI9,51840,high
1M5_4JP9,1980,medium
1M6_4JPC,1980,medium
1M7_4JPE,1980,medium
1M8_4KIN,32,low
1M9_4JJS,51840,high
1MB_4JJU,192,low
1MJ_4JN0,2,low
1ML_4JMU,368640,high
1MN_4JV7,1440,medium
1MV_4LPG,126,low
1N3_3ULI,15552,high
1N4_4JWY,192,low
1N5_3CXO,972,medium
1N6_4JX7,1080,medium
1NJ_4JZD,4608,medium
1NK_4JZE,576,medium
1NL_4JZF,1152,medium
1NQ_4JSR,29160,high
1NR_4JT8,7290,medium
1NS_4JT9,6480,medium
1O1_4JU3,256,low
1O8_4K4J,30,low
1O9_4JY0,76032,high
1OK_4JYU,2304,medium
1OO_4XV9,32,low
1OQ_4K2G,4,low
1OT_4K3N,144,low
1P6_3IOK,144,low
1P9_4K69,57024,high
1PF_4JS8,16200,high
1PL_2RDN,5324,medium
1PS_1R4P,54,low
1Q8_4K9C,6,low
1QK_4KD1,38880,high
1QP_4KFB,6,low
1QR_4KFN,960,medium
1QS_4KFO,64,low
1QT_4K8S,1000000,high
1QV_4KAP,2,low
1R6_4KE1,1000000,high
1R8_4KE0,1000000,high
1RC_3K98,132,low
1RH_4KJU,33408,high
1RK_4KJV,83520,high
1RQ_4KKH,12960,high
1RY_4K4I,1000000,high
1S0_4K4G,1000000,high
1S5_4OXK,2916,medium
1S8_4KNR,384,low
1S9_4KNX,576,medium
1SA_2HNC,2,low
1SB_3OVV,240,low
1SE_4KPX,192,low
1SF_4KPZ,120,low
1SV_4KVI,2700,medium
1T4_4KKY,4,low
1TM_4KTF,25,low
1U0_4KXY,248832,high
1U1_4KZ3,6,low
1U2_4FUH,128,low
1U4_3FV4,839808,high
1UN_3EL0,1000000,high
1UP_4FU7,96,low
1UQ_4KP7,2304,medium
1UR_4L09,4,low
1UT_4L0B,4,low
1UZ_4L0S,2,low
1V0_4L0T,4,low
1V1_4L0V,2,low
1V4_4L2G,2,low
1V5_4L7F,2160,medium
1V6_4L2L,8,low
1V8_4L2K,22,low
1V9_4L70,144,low
1VA_4L7L,216,low
1VB_4L7N,96,low
1VD_4L7O,288,low
1VF_4L32,360,low
1VG_4L34,12,low
1VJ_4OYB,144,low
1VK_4OYI,4,low
1VN_4LAG,6,low
1VO_4LAH,6,low
1VV_4L7B,356400,high
1VX_4L7D,356400,high
1W2_4L7J,2970,medium
1WB_4NI8,6,low
1WD_4YW9,2,low
1WP_4LC7,7920,medium
1WQ_4L6S,10800,high
1X8_4LH7,4,low
1XA_4LR6,2,low
1XO_4LI6,192,low
1XP_4LI7,3240,medium
1Y6_5FP5,2,low
1YE_4QXO,20,low
1YF_4LY3,1000000,high
1YM_4LP0,480,low
1YS_4LXA,311040,high
1YT_4LXK,1000000,high
1Z6_4OZ2,4,low
1ZC_4OYM,8,low
201_2B0M,144,low
208_2GTK,1152,medium
20A_3D3P,1440,medium
20B_4HLG,2,low
20D_4HLH,2,low
20K_4FKO,72,low
20N_4LVB,32,low
20O_4LVG,64,low
20P_4LVF,16,low
20R_4M6P,64,low
20U_4LWU,34848,high
20Z_3RMF,96,low
210_4NKF,189,low
211_3H7C,1140,medium
212_5DZ2,567,medium
218_4MUU,96,low
21D_4LQ9,6,low
21L_3V9V,760320,high
21N_3MS4,6480,medium
21O_4AW1,1440,medium
21U_2ZGB,6336,medium
21W_4MCB,6912,medium
21X_4MCC,96,low
227_2O8H,4050,medium
228_2ORO,52272,high
22K_3OT3,120,low
22L_4MCD,4,low
22S_3MS7,6480,medium
22U_2ZC9,4224,medium
237_2PR3,25344,high
238_2PRH,64,low
239_4FUC,128,low
23C_2R9W,2112,medium
23R_3A40,1000000,high
23T_2HHW,1000000,high
23U_3DHK,6336,medium
23V_3MTB,6480,medium
240_2Q59,3072,medium
243_3DSJ,1000000,high
245_4O95,16,low
246_2QPM,32,low
24B_1QV6,4,low
24I_2C6C,31104,high
24L_3V9Y,1000000,high
24P_3FH5,792,medium
24U_2ZI2,8448,medium
24Y_4MEP,216,low
258_2RAY,18,low
25E_3MTD,6480,medium
25F_4BU7,2,low
25K_4MEN,36,low
25O_4MEQ,4,low
25Q_4P4C,12,low
25Z_3RPR,48,low
260_2RB0,4,low
261_3HU8,3,low
263_2RB2,12,low
264_2RBN,6,low
269_2RBS,36,low
26B_3DDS,576,medium
26G_4MES,48,low
26K_4MBI,1296,medium
26M_4MHO,3240,medium
26O_3NC4,3240,medium
26R_4MI3,1620,medium
26U_2ZIQ,25344,high
26V_4MI6,12150,high
26W_4MI9,540,medium
26Z_3RPV,96,low
274_2J7T,95040,high
27D_4M7I,40,low
27H_4MG7,3828,medium
27M_4MGC,1,low
27O_4MJP,240,low
27R_4MJQ,80,low
27U_2ZHQ,16896,high
27Z_3RPY,24,low
281_2PJ9,31104,high
287_2RG6,3456,medium
28C_4M7B,18,low
28F_4MB9,9504,medium
28M_4MIB,6336,medium
28P_3U9W,93312,high
28Q_4MK8,4608,medium
28R_4MK9,384,low
28V_4MKB,768,medium
292_1VYW,80,low
29A_3ROC,1296,medium
29B_3ROC,25,low
29M_4MDD,2304,medium
29R_4CB6,419904,high
2A8_3ZYA,174,low
2A9_2YEA,2,low
2AM_3AHW,1188,medium
2AN_2WOR,18,low
2AZ_2GM1,20736,high
2B2_4M3B,108,low
2B4_4AJH,20,low
2B8_4P10,7290,medium
2BG_4CXR,2,low
2BI_4IZ0,12,low
2BW_4MR8,1944,medium
2BX_4MR9,180,low
2C0_4MS4,72,low
2C3_4MQ1,576,medium
2C6_4MSG,2880,medium
2C7_3DD8,68904,high
2CB_4A31,38880,high
2CG_2E4V,96,low
2CL_2IS7,20,low
2D1_4M3F,288,low
2D2_4MTA,4,low
2D4_2YE9,48,low
2D7_2BYH,144,low
2DD_2BYI,288,low
2DK_4MUG,5760,medium
2DL_2XDL,36,low
2DQ_4MUI,768,medium
2DX_4MTI,1000000,high
2E3_3FUG,120,low
2E5_4MUY,1296,medium
2E6_4MV0,648,medium
2E7_4MV5,1296,medium
2E9_4MW2,373248,high
2EB_4MW4,15552,high
2EK_4MWB,15552,high
2EX_4N00,19800,high
2EY_4MYA,48,low
2F8_4N34,135,low
2FA_1PK9,198,low
2FD_1Z34,198,low
2FG_4MOQ,45,low
2FP_3ELF,3888,medium
2FT_3LA3,108,low
2FX_3KFS,10,low
2FZ_4P6G,16200,high
2G1_4M3G,288,low
2G4_4P4E,839808,high
2G5_4P4I,373248,high
2G6_4OI5,944784,high
2GD_4N1T,12,low
2GE_4N1U,12,low
2GG_2UWD,300,low
2GP_1HYF,1188,medium
2GU_4N3R,360,low
2GY_4N4V,5280,medium
2H5_4MOR,45,low
2H8_4KS1,360,low
2HG_2YC0,144,low
2HJ_4N9D,1024,medium
2HN_4B6S,360,low
2HU_4N97,2,low
2HW_4N6Z,180,low
2HX_4N70,360,low
2IC_2ICA,23232,high
2IW_4DVI,352,low
2J4_5FKY,990,medium
2J7_4NBN,2628,medium
2J9_4N07,45,low
2JJ_4NF5,648,medium
2JL_4NF6,2880,medium
2K7_4NKA,31104,high
2K8_4NJH,60,low
2KA_4NJK,2,low
2KD_4NJ3,144,low
2KF_4NGA,31104,high
2KJ_4FVX,2592,medium
2KN_4NCW,56,low
2KR_4P1R,72,low
2KS_4N8D,3240,medium
2KU_2YEH,243,low
2KV_4N8E,5400,medium
2LI_3IVI,466560,high
2LJ_4NQD,17496,high
2LK_4NR4,8,low
2LL_4NR5,25920,high
2LN_4NR6,187920,high
2LO_5BT3,25920,high
2LQ_4PBT,12960,high
2LX_4NRB,30,low
2LY_4NRC,30,low
2M4_4G1R,2025,medium
2M5_3OAZ,135,low
2M8_3ZX5,540,medium
2M9_4NJ9,27,low
2N0_4PCE,240,low
2NJ_4PCI,116,low
2NK_4NUS,750,medium
2NP_1F06,1296,medium
2NR_4NW5,48,low
2NS_4NW6,48,low
2O3_4NYW,24300,high
2O7_2O7N,8712,medium
2OH_2E2R,15,low
2OO_4O0Y,36,low
2P1_4O15,64,low
2P6_4AN0,17424,high
2PG_1O98,72,low
2PJ_4PES,324,low
2Q2_4O8M,324,low
2Q8_4O04,2700,medium
2Q9_4O05,60750,high
2QA_4O0B,29700,high
2QC_5FE5,4,low
2QE_4NWC,5184,medium
2QF_4O10,64,low
2QJ_4NZ2,96,low
2QM_4OC5,31104,high
2QN_4OC4,46656,high
2QP_4OC3,93312,high
2QU_4OBP,2,low
2QV_4OBO,6,low
2R2_4PFD,349920,high
2R4_4O72,180,low
2R6_4O09,16200,high
2RE_4O77,50,low
2RJ_4O7B,13500,high
2RM_4O0Z,64,low
2RN_4O7E,50,low
2RQ_4O7F,13500,high
2S6_4OG3,1924560,high
2S7_4OG5,1924560,high
2S9_4OG6,1924560,high
2SA_2VD6,171072,high
2SC_2R3O,288,low
2SE_4OG7,1000000,high
2SF_4OG8,1924560,high
2SH_4O6E,32400,high
2SK_2F7P,3168,medium
2SQ_4OJR,1440,medium
2SS_4CEC,1000000,high
2SW_4OAS,233280,high
2SX_4OJQ,20,low
2T2_4OK5,80,low
2T9_4OKS,1920,medium
2TA_4OGJ,1000000,high
2TH_2GJ4,22,low
2TP_2C3U,124416,high
2TW_4OBA,466560,high
2TZ_4OCC,466560,high
2UN_2H02,1728,medium
2UP_4FU8,8,low
2VH_4PNZ,3960,medium
2VL_4OTF,172800,high
2VP_4POJ,30,low
2VQ_4MO8,96,low
2VZ_4PP3,30,low
2W0_4PP5,30,low
2W1_4PHW,960,medium
2W4_4PIV,19008,high
2W8_4PR4,288,low
2W9_4PRR,96,low
2WB_4PRT,160,low
2WC_4CFU,540,medium
2WF_4PTE,48,low
2WR_4PUU,12,low
2WS_4L4P,3375,medium
2WU_4PUK,6,low
2WZ_4PX5,768,medium
2X4_4PZW,29700,high
2X6_4PX6,1620,medium
2XQ_4CAV,23328,high
2XY_3F1O,3240,medium
2YB_4PHU,513216,high
2YC_4Q3A,42768,high
2YF_4Q3B,58320,high
2YJ_4Q3E,52488,high
2YK_4PY1,192,low
2YO_4Q4P,4860,medium
2YQ_4PJT,120,low
2YV_4Q8T,108,low
2YW_4Q8U,216,low
2YX_4Q8V,108,low
2YY_4Q8W,216,low
2ZL_4PKR,64,low
2ZM_4MSA,2,low
2ZV_4MRZ,4,low
302_2HXM,432,low
30E_2XK7,2160,medium
30H_4PKS,64,low
30L_4QBX,96,low
30M_4QB3,2430,medium
30X_3G8O,864,medium
311_3CH6,360,low
317_3C45,14256,high
31A_4UFV,720,medium
31F_4BUT,4,low
31U_2ZNK,50688,high
31V_4PMM,6912,medium
31Y_4PMT,12960,high
31Z_4QGA,34560,high
32B_4QGF,103680,high
32C_4QGG,155520,high
32F_4BUS,24,low
32K_4QG7,69120,high
32U_2ZDA,33792,high
32V_4PM0,132,low
32W_4BB4,11664,high
330_2IO6,396,low
332_3EBF,15660,high
333_2ORR,4224,medium
334_1O3K,16,low
337_3CTQ,12288,high
33E_4TKI,12,low
33H_4TLR,48600,high
33M_4QJZ,6,low
33U_2ZO3,50688,high
342_2ORT,23760,high
346_2BZ6,101376,high
348_2CF9,1000000,high
34F_2Y1F,432,low
34O_3F7Z,1056,medium
34U_4QMQ,43740,high
355_4TOS,8640,medium
358_1OVE,3600,medium
35F_3E7O,64,low
35K_4QF9,72,low
35O_4QGE,19008,high
35S_4QO4,69120,high
35X_4QP9,48,low
361_3HAC,30,low
363_4QP7,2,low
36A_3P8Z,684288,high
36I_4BNY,90,low
36M_4TV1,18,low
370_4CAF,480,low
37D_3HYY,8,low
37J_4TWC,384,low
37U_2ZDV,4224,medium
37V_4QR6,36,low
381_4MS1,14580,high
387_4MVY,7776,medium
388_2IKI,72,low
389_3F7G,14256,high
38F_4TXE,21384,high
38L_4QRO,4,low
38R_4BGQ,19008,high
38Z_4QTB,760320,high
390_4QTE,576,medium
392_4MW0,7776,medium
393_3M64,96,low
396_3BI6,26136,high
39L_4QPF,252,low
39P_3MVM,7776,medium
39X_4TYO,96,low
3A9_4CTJ,22,low
3AB_4PML,2,low
3AD_3ONF,198,low
3AM_3AGO,1188,medium
3AT_4XJ4,1000000,high
3B6_3B65,144,low
3BH_3FZH,198,low
3BM_3EQC,216,low
3BP_1WTG,497664,high
3BX_4U3D,145800,high
3C1_4U4S,60,low
3C4_3E6C,10,low
3C8_4U41,60,low
3CM_4FTW,1000000,high
3CR_4U6Q,12,low
3CZ_3CZR,960,medium
3D1_3IAR,198,low
3D8_4U43,12,low
3DE_1Y2C,72,low
3DJ_4U1Q,48,low
3DM_3VXJ,1,low
3DO_5CX8,45,low
3DQ_4B6O,360,low
3DU_4NT0,1188,medium
3DV_4QYF,16,low
3DW_4QYG,360,low
3E1_3DJI,20,low
3EB_4BPS,48,low
3EJ_3KEJ,384,low
3EK_3KEK,17280,high
3EV_3A78,1000000,high
3F0_4OWM,2,low
3F3_4CAE,480,low
3F4_4BU5,2,low
3FE_4U8Z,180,low
3FL_3FCL,279936,high
3FV_4UAL,1440,medium
3FX_3SFX,14580,high
3G5_4UB7,4,low
3G6_4UBT,891000,high
3G7_4QYY,126720,high
3G8_4W1W,80,low
3G9_4W1X,720,medium
3GC_4X8D,432,low
3GF_4R3C,750,medium
3GG_4UAI,96,low
3GJ_4W1O,192,low
3GP_1LOV,1188,medium
3GQ_4R3W,6,low
3GS_4W1V,704,medium
3GU_3GU8,13068,high
3GX_4W5I,30,low
3GZ_4W59,162,low
3H2_4W58,54,low
3HA_4HSL,2,low
3HB_4PAI,2,low
3HF_3OHF,1000000,high
3HJ_4W4W,768,medium
3HM_3GMC,2,low
3HX_2HX3,93312,high
3I6_4BGH,216,low
3IG_2G1R,2160,medium
3IL_2A7P,48,low
3IO_1XES,40,low
3JA_4W8D,180,low
3JC_4W7T,30,low
3JD_4R6E,360,low
3JF_4W9H,4224,medium
3JG_4W9C,8448,medium
3JH_4W9J,76032,high
3JJ_4W9L,25344,high
3JK_4W9D,8448,medium
3JL_4R4J,576,medium
3JM_4R54,192,low
3JU_4W9F,8448,medium
3K0_4W9Y,288,low
3K9_3WYM,864,medium
3KE_3KEC,1536,medium
3KH_4WCD,2,low
3KL_3W5Q,1000000,high
3LA_2WYC,139968,high
3LJ_4R9J,270,low
3LL_4RCD,3960,medium
3LM_3AEO,124416,high
3LN_4RCE,35640,high
3LO_4RCF,79200,high
3LR_3CXO,108,low
3M0_4OWQ,2,low
3ML_3HF5,264,low
3MQ_3MQD,4,low
3N1_3N1V,20,low
3NF_3NFZ,24,low
3NG_3PE1,24,low
3NW_3NWW,839808,high
3O3_3O31,186624,high
3O5_4RFD,324,low
3OC_3DZL,60,low
3P1_3LDQ,7128,medium
3P2_4WIV,96,low
3P3_3P3C,12,low
3P5_3PI5,12960,high
3P6_4RFM,64800,high
